TASKID,CHUNK,ITERATION,METHOD,VALUE
209a7f06186f63957741c5cd1a8ba0c3,5,3,"GET","507614.22"
209a7f06186f63957741c5cd1a8ba0c3,5,4,"SET","467289.72"
209a7f06186f63957741c5cd1a8ba0c3,5,4,"GET","456621.00"
209a7f06186f63957741c5cd1a8ba0c3,5,5,"SET","456621.00"
209a7f06186f63957741c5cd1a8ba0c3,5,5,"GET","432900.41"
256d5a26dd5df5155cbde4c9552dd377,5,1,"SET","312500.00"
256d5a26dd5df5155cbde4c9552dd377,5,1,"GET","442477.88"
256d5a26dd5df5155cbde4c9552dd377,5,2,"SET","358422.91"
256d5a26dd5df5155cbde4c9552dd377,5,2,"GET","427350.44"
256d5a26dd5df5155cbde4c9552dd377,5,3,"SET","338983.06"
256d5a26dd5df5155cbde4c9552dd377,5,3,"GET","444444.47"
256d5a26dd5df5155cbde4c9552dd377,5,4,"SET","369003.69"
256d5a26dd5df5155cbde4c9552dd377,5,4,"GET","444444.47"
256d5a26dd5df5155cbde4c9552dd377,5,5,"SET","277008.31"
256d5a26dd5df5155cbde4c9552dd377,5,5,"GET","432900.41"
270272f4576985b241c8e6f15e4e04db,5,1,"SET","254452.92"
270272f4576985b241c8e6f15e4e04db,5,1,"GET","271739.12"
270272f4576985b241c8e6f15e4e04db,5,2,"SET","259740.27"
270272f4576985b241c8e6f15e4e04db,5,2,"GET","306748.47"
270272f4576985b241c8e6f15e4e04db,5,3,"SET","260416.67"
270272f4576985b241c8e6f15e4e04db,5,3,"GET","285714.28"
270272f4576985b241c8e6f15e4e04db,5,4,"SET","271002.72"
270272f4576985b241c8e6f15e4e04db,5,4,"GET","307692.31"
270272f4576985b241c8e6f15e4e04db,5,5,"SET","261780.11"
270272f4576985b241c8e6f15e4e04db,5,5,"GET","320512.81"
2995d05a44ae6e76775aca7a5d47fc1e,5,1,"SET","276243.09"
2995d05a44ae6e76775aca7a5d47fc1e,5,1,"GET","307692.31"
2995d05a44ae6e76775aca7a5d47fc1e,5,2,"SET","275482.09"
2995d05a44ae6e76775aca7a5d47fc1e,5,2,"GET","327868.84"
2995d05a44ae6e76775aca7a5d47fc1e,5,3,"SET","276243.09"
2995d05a44ae6e76775aca7a5d47fc1e,5,3,"GET","302114.81"
2995d05a44ae6e76775aca7a5d47fc1e,5,4,"SET","256410.27"
2995d05a44ae6e76775aca7a5d47fc1e,5,4,"GET","324675.31"
2995d05a44ae6e76775aca7a5d47fc1e,5,5,"SET","268817.19"
2995d05a44ae6e76775aca7a5d47fc1e,5,5,"GET","328947.38"
2abe9fbb5841a5535b46204f55a02e28,5,1,"SET","261780.11"
2abe9fbb5841a5535b46204f55a02e28,5,1,"GET","347222.25"
2abe9fbb5841a5535b46204f55a02e28,5,2,"SET","269541.78"
2abe9fbb5841a5535b46204f55a02e28,5,2,"GET","327868.84"
2abe9fbb5841a5535b46204f55a02e28,5,3,"SET","267379.66"
2abe9fbb5841a5535b46204f55a02e28,5,3,"GET","331125.84"
2abe9fbb5841a5535b46204f55a02e28,5,4,"SET","271002.72"
2abe9fbb5841a5535b46204f55a02e28,5,4,"GET","346020.75"
2abe9fbb5841a5535b46204f55a02e28,5,5,"SET","263852.25"
2abe9fbb5841a5535b46204f55a02e28,5,5,"GET","341296.91"
2c5a4f3e509aca629b65a76bbeed5e1e,5,1,"SET","267379.66"
2c5a4f3e509aca629b65a76bbeed5e1e,5,1,"GET","293255.12"
2c5a4f3e509aca629b65a76bbeed5e1e,5,2,"SET","250626.58"
2c5a4f3e509aca629b65a76bbeed5e1e,5,2,"GET","316455.69"
2c5a4f3e509aca629b65a76bbeed5e1e,5,3,"SET","260416.67"
2c5a4f3e509aca629b65a76bbeed5e1e,5,3,"GET","313479.62"
2c5a4f3e509aca629b65a76bbeed5e1e,5,4,"SET","261096.61"
2c5a4f3e509aca629b65a76bbeed5e1e,5,4,"GET","315457.41"
2c5a4f3e509aca629b65a76bbeed5e1e,5,5,"SET","248138.95"
2c5a4f3e509aca629b65a76bbeed5e1e,5,5,"GET","293255.12"
2d53f8288f487c6355d33477557186b1,5,1,"SET","210970.47"
2d53f8288f487c6355d33477557186b1,5,1,"GET","254452.92"
2d53f8288f487c6355d33477557186b1,5,2,"SET","211864.41"
2d53f8288f487c6355d33477557186b1,5,2,"GET","263157.91"
2d53f8288f487c6355d33477557186b1,5,3,"SET","210084.03"
2d53f8288f487c6355d33477557186b1,5,3,"GET","257069.41"
2d53f8288f487c6355d33477557186b1,5,4,"SET","211864.41"
2d53f8288f487c6355d33477557186b1,5,4,"GET","249376.56"
2d53f8288f487c6355d33477557186b1,5,5,"SET","202839.75"
2d53f8288f487c6355d33477557186b1,5,5,"GET","256410.27"
2e6ce723a21d485a62f6cfaa8989ce0f,5,1,"SET","387596.91"
2e6ce723a21d485a62f6cfaa8989ce0f,5,1,"GET","529100.56"
2e6ce723a21d485a62f6cfaa8989ce0f,5,2,"SET","409836.06"
2e6ce723a21d485a62f6cfaa8989ce0f,5,2,"GET","520833.34"
2e6ce723a21d485a62f6cfaa8989ce0f,5,3,"SET","409836.06"
2e6ce723a21d485a62f6cfaa8989ce0f,5,3,"GET","529100.56"
2e6ce723a21d485a62f6cfaa8989ce0f,5,4,"SET","383141.75"
2e6ce723a21d485a62f6cfaa8989ce0f,5,4,"GET","520833.34"
2e6ce723a21d485a62f6cfaa8989ce0f,5,5,"SET","409836.06"
2e6ce723a21d485a62f6cfaa8989ce0f,5,5,"GET","523560.22"
3230d4baef2748d42694d56d5442f3ef,5,1,"SET","724637.69"
3230d4baef2748d42694d56d5442f3ef,5,1,"GET","847457.62"
3230d4baef2748d42694d56d5442f3ef,5,2,"SET","757575.75"
3230d4baef2748d42694d56d5442f3ef,5,2,"GET","900900.88"
3230d4baef2748d42694d56d5442f3ef,5,3,"SET","769230.81"
3230d4baef2748d42694d56d5442f3ef,5,3,"GET","877193.00"
3230d4baef2748d42694d56d5442f3ef,5,4,"SET","757575.75"
3230d4baef2748d42694d56d5442f3ef,5,4,"GET","869565.19"
3230d4baef2748d42694d56d5442f3ef,5,5,"SET","781249.94"
3230d4baef2748d42694d56d5442f3ef,5,5,"GET","869565.19"
32b05e758c6ba9834497fa99e2ded677,5,1,"SET","227790.42"
32b05e758c6ba9834497fa99e2ded677,5,1,"GET","331125.84"
32b05e758c6ba9834497fa99e2ded677,5,2,"SET","277777.78"
32b05e758c6ba9834497fa99e2ded677,5,2,"GET","311526.47"
32b05e758c6ba9834497fa99e2ded677,5,3,"SET","269541.78"
32b05e758c6ba9834497fa99e2ded677,5,3,"GET","327868.84"
32b05e758c6ba9834497fa99e2ded677,5,4,"SET","268817.19"
32b05e758c6ba9834497fa99e2ded677,5,4,"GET","333333.31"
32b05e758c6ba9834497fa99e2ded677,5,5,"SET","282485.88"
32b05e758c6ba9834497fa99e2ded677,5,5,"GET","337837.84"
345ec798fc32299811a763c136f9be87,5,1,"SET","281690.16"
345ec798fc32299811a763c136f9be87,5,1,"GET","313479.62"
345ec798fc32299811a763c136f9be87,5,2,"SET","281690.16"
345ec798fc32299811a763c136f9be87,5,2,"GET","314465.41"
345ec798fc32299811a763c136f9be87,5,3,"SET","273224.03"
345ec798fc32299811a763c136f9be87,5,3,"GET","330033.00"
345ec798fc32299811a763c136f9be87,5,4,"SET","243902.44"
345ec798fc32299811a763c136f9be87,5,4,"GET","310559.00"
345ec798fc32299811a763c136f9be87,5,5,"SET","251889.16"
345ec798fc32299811a763c136f9be87,5,5,"GET","303030.28"
3520460e0b00d0bcbd89ef44101764bf,5,1,"SET","250000.00"
3520460e0b00d0bcbd89ef44101764bf,5,1,"GET","318471.31"
3520460e0b00d0bcbd89ef44101764bf,5,2,"SET","265252.00"
3520460e0b00d0bcbd89ef44101764bf,5,2,"GET","336700.34"
3520460e0b00d0bcbd89ef44101764bf,5,3,"SET","265252.00"
3520460e0b00d0bcbd89ef44101764bf,5,3,"GET","335570.47"
3520460e0b00d0bcbd89ef44101764bf,5,4,"SET","264550.28"
3520460e0b00d0bcbd89ef44101764bf,5,4,"GET","340136.06"
3520460e0b00d0bcbd89ef44101764bf,5,5,"SET","275482.09"
3520460e0b00d0bcbd89ef44101764bf,5,5,"GET","352112.66"
35bb50d19aede3add785f0e1b07fb4ff,5,1,"SET","212765.95"
35bb50d19aede3add785f0e1b07fb4ff,5,1,"GET","263157.91"
35bb50d19aede3add785f0e1b07fb4ff,5,2,"SET","217864.92"
35bb50d19aede3add785f0e1b07fb4ff,5,2,"GET","271739.12"
35bb50d19aede3add785f0e1b07fb4ff,5,3,"SET","217864.92"
35bb50d19aede3add785f0e1b07fb4ff,5,3,"GET","265957.47"
35bb50d19aede3add785f0e1b07fb4ff,5,4,"SET","219780.22"
35bb50d19aede3add785f0e1b07fb4ff,5,4,"GET","267379.66"
35bb50d19aede3add785f0e1b07fb4ff,5,5,"SET","221238.94"
35bb50d19aede3add785f0e1b07fb4ff,5,5,"GET","269541.78"
376a36c90fff3b4e10b011243ae3ccf1,5,1,"SET","465116.28"
376a36c90fff3b4e10b011243ae3ccf1,5,1,"GET","505050.50"
376a36c90fff3b4e10b011243ae3ccf1,5,2,"SET","452488.69"
376a36c90fff3b4e10b011243ae3ccf1,5,2,"GET","490196.09"
376a36c90fff3b4e10b011243ae3ccf1,5,3,"SET","467289.72"
376a36c90fff3b4e10b011243ae3ccf1,5,3,"GET","505050.50"
376a36c90fff3b4e10b011243ae3ccf1,5,4,"SET","465116.28"
376a36c90fff3b4e10b011243ae3ccf1,5,4,"GET","500000.00"
376a36c90fff3b4e10b011243ae3ccf1,5,5,"SET","462962.94"
376a36c90fff3b4e10b011243ae3ccf1,5,5,"GET","476190.50"
4178e3e53bb939b4b20a028320698a07,5,1,"SET","436681.22"
4178e3e53bb939b4b20a028320698a07,5,1,"GET","432900.41"
4178e3e53bb939b4b20a028320698a07,5,2,"SET","460829.50"
4178e3e53bb939b4b20a028320698a07,5,2,"GET","515463.91"
4178e3e53bb939b4b20a028320698a07,5,3,"SET","462962.94"
4178e3e53bb939b4b20a028320698a07,5,3,"GET","483091.78"
4178e3e53bb939b4b20a028320698a07,5,4,"SET","460829.50"
4178e3e53bb939b4b20a028320698a07,5,4,"GET","512820.53"
4178e3e53bb939b4b20a028320698a07,5,5,"SET","418410.06"
4178e3e53bb939b4b20a028320698a07,5,5,"GET","515463.91"
41c54ac3e6b67a2317bc428a3d7cae95,5,1,"SET","296735.91"
41c54ac3e6b67a2317bc428a3d7cae95,5,1,"GET","389105.06"
41c54ac3e6b67a2317bc428a3d7cae95,5,2,"SET","288184.44"
41c54ac3e6b67a2317bc428a3d7cae95,5,2,"GET","373134.31"
41c54ac3e6b67a2317bc428a3d7cae95,5,3,"SET","296735.91"
41c54ac3e6b67a2317bc428a3d7cae95,5,3,"GET","403225.81"
41c54ac3e6b67a2317bc428a3d7cae95,5,4,"SET","296735.91"
41c54ac3e6b67a2317bc428a3d7cae95,5,4,"GET","401606.44"
41c54ac3e6b67a2317bc428a3d7cae95,5,5,"SET","287356.34"
41c54ac3e6b67a2317bc428a3d7cae95,5,5,"GET","395256.94"
43251d1ed741f872b6ba670e33f4bc40,5,1,"SET","269541.78"
43251d1ed741f872b6ba670e33f4bc40,5,1,"GET","369003.69"
43251d1ed741f872b6ba670e33f4bc40,5,2,"SET","280898.88"
43251d1ed741f872b6ba670e33f4bc40,5,2,"GET","352112.66"
43251d1ed741f872b6ba670e33f4bc40,5,3,"SET","282485.88"
43251d1ed741f872b6ba670e33f4bc40,5,3,"GET","348432.06"
43251d1ed741f872b6ba670e33f4bc40,5,4,"SET","277777.78"
43251d1ed741f872b6ba670e33f4bc40,5,4,"GET","361010.81"
43251d1ed741f872b6ba670e33f4bc40,5,5,"SET","279329.59"
43251d1ed741f872b6ba670e33f4bc40,5,5,"GET","370370.34"
4719e8f636b40046677b56208bc440fe,5,1,"SET","353356.91"
4719e8f636b40046677b56208bc440fe,5,1,"GET","444444.47"
4719e8f636b40046677b56208bc440fe,5,2,"SET","347222.25"
4719e8f636b40046677b56208bc440fe,5,2,"GET","408163.25"
4719e8f636b40046677b56208bc440fe,5,3,"SET","362318.84"
4719e8f636b40046677b56208bc440fe,5,3,"GET","454545.47"
4719e8f636b40046677b56208bc440fe,5,4,"SET","357142.84"
4719e8f636b40046677b56208bc440fe,5,4,"GET","456621.00"
4719e8f636b40046677b56208bc440fe,5,5,"SET","348432.06"
4719e8f636b40046677b56208bc440fe,5,5,"GET","454545.47"
4ba69714a0ab1813bf4638172b08fd0b,5,1,"SET","206185.56"
4ba69714a0ab1813bf4638172b08fd0b,5,1,"GET","258397.94"
4ba69714a0ab1813bf4638172b08fd0b,5,2,"SET","199203.20"
4ba69714a0ab1813bf4638172b08fd0b,5,2,"GET","260416.67"
4ba69714a0ab1813bf4638172b08fd0b,5,3,"SET","207039.33"
4ba69714a0ab1813bf4638172b08fd0b,5,3,"GET","257731.95"
4ba69714a0ab1813bf4638172b08fd0b,5,4,"SET","191570.88"
4ba69714a0ab1813bf4638172b08fd0b,5,4,"GET","259067.36"
4ba69714a0ab1813bf4638172b08fd0b,5,5,"SET","207900.20"
4ba69714a0ab1813bf4638172b08fd0b,5,5,"GET","259067.36"
4d55c5253821320a7fb7862b630329b4,5,1,"SET","411522.62"
4d55c5253821320a7fb7862b630329b4,5,1,"GET","465116.28"
4d55c5253821320a7fb7862b630329b4,5,2,"SET","423728.81"
4d55c5253821320a7fb7862b630329b4,5,2,"GET","387596.91"
4d55c5253821320a7fb7862b630329b4,5,3,"SET","369003.69"
4d55c5253821320a7fb7862b630329b4,5,3,"GET","471698.12"
4d55c5253821320a7fb7862b630329b4,5,4,"SET","425531.91"
4d55c5253821320a7fb7862b630329b4,5,4,"GET","465116.28"
4d55c5253821320a7fb7862b630329b4,5,5,"SET","401606.44"
4d55c5253821320a7fb7862b630329b4,5,5,"GET","420168.06"
4e68b82fd06086092315ee9df5d58c93,5,1,"SET","202839.75"
4e68b82fd06086092315ee9df5d58c93,5,1,"GET","270270.28"
4e68b82fd06086092315ee9df5d58c93,5,2,"SET","225225.22"
4e68b82fd06086092315ee9df5d58c93,5,2,"GET","272479.56"
4e68b82fd06086092315ee9df5d58c93,5,3,"SET","213219.61"
4e68b82fd06086092315ee9df5d58c93,5,3,"GET","261780.11"
4e68b82fd06086092315ee9df5d58c93,5,4,"SET","215517.25"
4e68b82fd06086092315ee9df5d58c93,5,4,"GET","259067.36"
4e68b82fd06086092315ee9df5d58c93,5,5,"SET","203665.98"
4e68b82fd06086092315ee9df5d58c93,5,5,"GET","264550.28"
4eb40a018335914b4a45e75d7c8e7cd7,5,1,"SET","321543.41"
4eb40a018335914b4a45e75d7c8e7cd7,5,1,"GET","409836.06"
4eb40a018335914b4a45e75d7c8e7cd7,5,2,"SET","334448.16"
4eb40a018335914b4a45e75d7c8e7cd7,5,2,"GET","421940.94"
4eb40a018335914b4a45e75d7c8e7cd7,5,3,"SET","320512.81"
4eb40a018335914b4a45e75d7c8e7cd7,5,3,"GET","403225.81"
4eb40a018335914b4a45e75d7c8e7cd7,5,4,"SET","324675.31"
4eb40a018335914b4a45e75d7c8e7cd7,5,4,"GET","413223.16"
4eb40a018335914b4a45e75d7c8e7cd7,5,5,"SET","330033.00"
4eb40a018335914b4a45e75d7c8e7cd7,5,5,"GET","387596.91"
50f6e4bbe68856e632f53ca399fce39c,5,1,"SET","252525.25"
50f6e4bbe68856e632f53ca399fce39c,5,1,"GET","300300.28"
50f6e4bbe68856e632f53ca399fce39c,5,2,"SET","254452.92"
50f6e4bbe68856e632f53ca399fce39c,5,2,"GET","275482.09"
50f6e4bbe68856e632f53ca399fce39c,5,3,"SET","266666.66"
50f6e4bbe68856e632f53ca399fce39c,5,3,"GET","313479.62"
50f6e4bbe68856e632f53ca399fce39c,5,4,"SET","215517.25"
50f6e4bbe68856e632f53ca399fce39c,5,4,"GET","308641.97"
50f6e4bbe68856e632f53ca399fce39c,5,5,"SET","265957.47"
50f6e4bbe68856e632f53ca399fce39c,5,5,"GET","311526.47"
53763dd749a3e122057c59ca0d499ac8,5,1,"SET","288184.44"
53763dd749a3e122057c59ca0d499ac8,5,1,"GET","359712.22"
53763dd749a3e122057c59ca0d499ac8,5,2,"SET","277777.78"
53763dd749a3e122057c59ca0d499ac8,5,2,"GET","362318.84"
53763dd749a3e122057c59ca0d499ac8,5,3,"SET","272479.56"
53763dd749a3e122057c59ca0d499ac8,5,3,"GET","378787.88"
53763dd749a3e122057c59ca0d499ac8,5,4,"SET","286532.94"
53763dd749a3e122057c59ca0d499ac8,5,4,"GET","363636.34"
53763dd749a3e122057c59ca0d499ac8,5,5,"SET","255754.47"
53763dd749a3e122057c59ca0d499ac8,5,5,"GET","353356.91"
5bdaa66853f269aaadbc23a3e1baf64d,5,1,"SET","427350.44"
5bdaa66853f269aaadbc23a3e1baf64d,5,1,"GET","462962.94"
